--- Startup times for process: Primary/TUI ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
197.269  000.058  000.058: require('null-ls.helpers.formatter_factory')
197.388  000.055  000.055: require('null-ls.logger')
197.446  000.057  000.057: require('null-ls.state')
197.448  000.178  000.066: require('null-ls.helpers.generator_factory')
197.559  000.054  000.054: require('null-ls.helpers.command_resolver')
197.560  000.111  000.057: require('null-ls.helpers.make_builtin')
197.614  000.053  000.053: require('null-ls.helpers.range_formatting_args_factory')
197.615  001.008  000.380: require('null-ls.helpers')
197.867  000.136  000.136: require('null-ls.methods')
197.870  000.194  000.058: require('null-ls.diagnostics')
197.874  000.257  000.064: require('null-ls.sources')
197.932  000.056  000.056: require('null-ls.builtins')
197.934  002.203  000.141: require('null-ls')
198.425  000.489  000.489: require('null-ls.builtins.formatting.prettier')
198.672  000.245  000.245: require('null-ls.builtins.formatting.stylua')
199.212  000.539  000.539: require('null-ls.builtins.formatting.rustfmt')
202.066  000.615  000.615: require('null-ls.client')
202.085  006.566  002.475: require('user.lsp.null-ls')
204.365  028.804  016.383: require('user.lsp')
205.019  000.089  000.089: require('telescope._extensions')
205.021  000.339  000.250: require('telescope')
205.417  000.056  000.056: require('plenary.bit')
205.473  000.054  000.054: require('plenary.functional')
205.531  000.247  000.138: require('plenary.path')
205.570  000.344  000.097: require('plenary.strings')
205.625  000.054  000.054: require('telescope.deprecated')
206.331  000.585  000.585: require('plenary.log')
206.369  000.679  000.094: require('telescope.log')
206.662  000.055  000.055: require('plenary.compat')
206.666  000.129  000.074: require('plenary.job')
206.720  000.053  000.053: require('telescope.state')
206.733  000.362  000.181: require('telescope.utils')
206.736  001.109  000.068: require('telescope.sorters')
215.587  010.437  008.929: require('telescope.config')
215.863  000.076  000.076: require('plenary.window.border')
215.922  000.059  000.059: require('plenary.window')
215.979  000.055  000.055: require('plenary.popup.utils')
215.981  000.392  000.203: require('plenary.popup')
216.044  000.061  000.061: require('telescope.pickers.scroller')
216.099  000.055  000.055: require('telescope.actions.state')
216.159  000.059  000.059: require('telescope.actions.utils')
216.280  000.058  000.058: require('telescope.actions.mt')
216.289  000.129  000.071: require('telescope.actions.set')
216.487  000.057  000.057: require('telescope.config.resolve')
216.488  000.115  000.058: require('telescope.pickers.entry_display')
216.544  000.055  000.055: require('telescope.from_entry')
216.651  011.628  000.327: require('telescope.actions')
225.875  021.509  009.542: require('user.telescope')
226.223  000.056  000.056: require('nvim-autopairs._log')
226.636  000.412  000.412: require('nvim-autopairs.utils')
226.821  000.068  000.068: require('nvim-autopairs.conds')
226.824  000.127  000.059: require('nvim-autopairs.rule')
226.826  000.189  000.062: require('nvim-autopairs.rules.basic')
226.830  000.771  000.113: require('nvim-autopairs')
227.060  000.067  000.067: require('nvim-autopairs.fastwrap')
227.409  000.057  000.057: require('nvim-autopairs.ts-conds')
227.411  000.131  000.074: require('nvim-autopairs.rules.ts_basic')
227.507  000.095  000.095: require('vim.treesitter.highlighter')
229.071  000.063  000.063: require('nvim-autopairs.completion.handlers')
229.073  000.154  000.091: require('nvim-autopairs.completion.cmp')
229.123  003.246  002.029: require('user.autopairs')
229.262  000.054  000.054: require('Comment')
229.944  000.820  000.765: require('user.comment')
231.222  000.065  000.065: require('gitsigns.async')
231.286  000.062  000.062: require('gitsigns.debug.log')
231.363  000.076  000.076: require('gitsigns.config')
231.365  000.399  000.195: require('gitsigns')
233.211  000.401  000.401: require('gitsigns.highlight')
235.003  000.074  000.074: require('gitsigns.debounce')
235.010  005.064  004.191: require('user.gitsigns')
235.322  000.063  000.063: require('nvim-tree.log')
235.518  000.056  000.056: require('nvim-tree.notify')
235.520  000.117  000.061: require('nvim-tree.events')
235.655  000.060  000.060: require('nvim-tree.iterators.node-iterator')
